Identificación,Número de Matrícula,Estado de la matrícula,nombre,Categoria de la Matrícula,Tipo de Sociedad,Tipo Organización,Cámara de Comercio,Fecha de Matrícula,Fecha de Vigencia,Fecha de Cancelación,Último año renovado,Fecha de renovación,Fecha de Actualización,Motivo Cancelación,Emprendimiento Social,Extinción de Dominio
NIT 900284171 - 4,9000503820,Activa,CORPORACION PARA EL MEJORAMIENTO DEL HABITAT HUMANO Y SU DESARROLLO SOSTENIBLE EN LIQUIDACION,Sociedad ó persona juridica principal ó esal,Entidad sin animo de lucro,"Corporaciones, asociaciones y fundaciones creadas para adelantar actividades en comunidades indígenas.",Villavicencio,2009/05/15,2107/11/20,,2009,2009/05/15,2022/05/19,NORMAL,,
SIN IDENTIFICACION,9000506315,Activa,FUNDACION M C F RIBER EN LIQUIDACION,Sociedad ó persona juridica principal ó esal,Entidad sin animo de lucro,"Corporaciones, asociaciones y fundaciones creadas para adelantar actividades en comunidades indígenas.",Villavicencio,2015/05/06,Indefinido,,2015,2015/05/06,2022/02/26,NORMAL,,
NIT 901110136 - 3,9000507463,Activa,CORPORACION SOCIAL Y DEPORTIVA F.C. YEYE EN LIQUIDACION,Sociedad ó persona juridica principal ó esal,Entidad sin animo de lucro,"Corporaciones, asociaciones y fundaciones creadas para adelantar actividades en comunidades indígenas.",Villavicencio,2017/08/24,2067/07/20,,2017,2017/08/24,2022/05/19,NORMAL,,
NIT 824006544 - 1,69988,Activa,F & A PRODUCCIONES S.A.S. EN LIQUIDACION,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Valledupar,2004/04/22,Indefinido,,0,,2020/11/13,NORMAL,,
NIT 900211305 - 1,84968,Activa,GRUPO EMPRESARIAL B&F INVERSIONES S.A.S. EN LIQUIDACION,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Valledupar,2008/04/11,2063/02/27,,2016,2016/03/30,2021/05/13,NORMAL,,
NIT 900366046 - 4,95599,Activa,F & J.J. INTEGRALES S.A.S. EN LIQUIDACION,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Valledupar,2010/06/25,2060/06/21,,2017,2017/02/22,2022/05/18,NORMAL,,
NIT 900385575 - 1,97032,Activa,F&A DOTACIONES DEL CESAR S.A.S. EN LIQUIDACION,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Valledupar,2010/09/30,Indefinido,,0,,2020/11/13,NORMAL,,
NIT 900748613 - 0,122049,Activa,F&M INGENIERIA S.A.S.,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Valledupar,2014/05/22,Indefinido,,2024,2024/04/16,2024/04/16,NORMAL,S,
NIT 901285180 - 9,162539,Activa,F&J CONSULTORIA Y DISEÑOS S.A.S EN LIQUIDACION,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Valledupar,2019/05/20,2069/05/16,,2019,2019/05/20,2024/04/26,NORMAL,,
SIN IDENTIFICACION 50000024498,24498,Activa,CONSTRUCCIONES F. Y G. LIMITADA. EN LIQUIDACION,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad limitada,Villavicencio,1989/02/27,1999/02/27,,0,,2020/11/23,NORMAL,,
NIT 822000464 - 6,48412,Activa,CONSTRUCTORA M & F LIMITADA EN LIQUIDACION,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad limitada,Villavicencio,1996/01/22,2016/01/05,,2005,2006/12/28,2020/11/21,NORMAL,,
NIT 900273257 - 1,180752,Activa,SERVICIOS Y CONSTRUCCIONES A & F LTDA.,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad limitada,Villavicencio,2009/03/17,2029/02/12,,2018,2018/03/22,2021/05/14,NORMAL,,
NIT 900275591 - 6,181236,Activa,GUARIN & FONSECA YUTOS ASESORES CONSULTORES GERENCIALES SAS EN LIQUIDACION,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Villavicencio,2009/03/27,Indefinido,,2017,2019/01/17,2022/05/19,NORMAL,,
SIN IDENTIFICACION,182449,Activa,COMERCIALIZADORA INTERNACIONAL DE COLOMBIA C.G. & F. LTDA. EN LIQUIDACION,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad limitada,Villavicencio,2009/04/23,2039/04/02,,0,,2020/11/24,NORMAL,,
NIT 900405104 - 1,208515,Activa,A&F ASESORIAS Y CONSULTORIAS S.A.S. EN LIQUIDACION,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Villavicencio,2011/01/04,Indefinido,,2014,2014/03/28,2022/05/19,NORMAL,,
NIT 900431993 - 2,215011,Activa,"ASESORIAS, AUDITORIAS Y SERVICIOS F&M S.A.S. EN LIQUIDACION",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Villavicencio,2011/04/28,Indefinido,,2012,2012/05/18,2020/11/21,NORMAL,,
NIT 900441370 - 7,216772,Activa,PROCONTABLES F & F S.A.S. EN LIQUIDACION,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Villavicencio,2011/06/07,Indefinido,,2016,2017/02/24,2021/05/14,NORMAL,,
NIT 900761663 - 2,268708,Activa,SERVICIOS Y SUMINISTROS EL DORADO S.A.S EN LIQUIDACION,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Villavicencio,2014/08/21,Indefinido,,2014,2014/08/21,2022/05/19,NORMAL,,
NIT 900787114 - 3,271366,Activa,J & F INGENIERIA Y SERVICIOS S.A.S. EN LIQUIDACION,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Villavicencio,2014/10/27,Indefinido,,2017,2017/04/04,2022/05/19,NORMAL,,
NIT 900930366 - 5,288657,Activa,S & F AGENTES DE SEGUROS LTDA EN LIQUIDACION,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad limitada,Villavicencio,2016/01/21,Indefinido,,2016,2016/01/21,2021/05/14,NORMAL,,
NIT 900980588 - 7,297134,Activa,F&N LOGISTICA Y TRANSPORTE S.A.S EN LIQUIDACION,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Villavicencio,2016/06/14,Indefinido,,2023,2023/08/02,2023/08/14,NORMAL,N,
NIT 820000548 - 9,35564,Activa,INPROY F.C. LTDA EN LIQUIDACION,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad limitada,Tunja,1996/07/05,2006/03/22,,1996,1996/07/05,2022/05/19,NORMAL,,
NIT 820005065 - 6,71110,Activa,A E & F COLOCADORA DE SEGUROS LTDA. EN LIQUIDACION,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad limitada,Tunja,2003/11/12,2020/04/19,,2023,2023/03/22,2024/04/05,NORMAL,N,
NIT 820005266 - 1,72170,Activa,F & N DISTRIBUCIONES LTDA. EN LIQUIDACION,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad limitada,Tunja,2004/02/23,2014/02/11,,2004,2004/02/23,2022/05/19,NORMAL,,
NIT 900459381 - 7,110989,Activa,PARADISE FRUITS AND FRUIT SAS EN LIQUIDACION,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Tunja,2011/08/01,Indefinido,,2014,2014/03/06,2022/05/19,NORMAL,,
