Identificación,Número de Matrícula,Estado de la matrícula,nombre,Categoria de la Matrícula,Tipo de Sociedad,Tipo Organización,Cámara de Comercio,Fecha de Matrícula,Fecha de Vigencia,Fecha de Cancelación,Último año renovado,Fecha de renovación,Fecha de Actualización,Motivo Cancelación,Emprendimiento Social,Extinción de Dominio
NIT 800137336 - 0,15941604,Activa,COMERCIALIZADORA LA LLAMA S A,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1991/07/01,2041/02/13,,1992,,,,,
NIT 800136312 - 0,15941804,Activa,VELPASS S A,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1991/07/01,2021/06/26,,1996,,,,,
NIT 800135479 - 6,15942104,Activa,"DILADA S A ""EN LIQUIDACION""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1991/07/01,2041/07/15,,1999,,,,,
NIT 800137202 - 2,15968204,Activa,"AIRE ACONDICIONADO Y REFRIGERACION DE COLOMBIA S A ""EN LIQUIDACION""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1991/07/01,2041/06/14,,1998,1998/08/28,,,,
NIT 800137881 - 3,15997912,Activa,CASMAR DE COLOMBIA S. A. S.,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,1991/08/01,Indefinido,,2022,2022/12/20,2022/12/20,,,
CEDULA DE CIUDADANIA 1 - 0,16015807,Activa,INVERSIONES VILLEGAS OCHO Y CIA S C A EN LIQUIDACION,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad en comandita por acciones,Medellin para antioquia,1991/08/01,2041/04/06,,1991,,,,,
NIT 800139344 - 0,16041303,Activa,ASESORES EN SALUD PREPAGADA A S P Y CIA LTDA AGENTES DE MEDICINA PREPAGADA,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad limitada,Medellin para antioquia,1991/08/01,2011/07/30,,1999,,,,,
NIT 800142256 - 1,16079904,Activa,"SERVICIOS AGROPECUARIOS LOS MILAGROS S A SERAGROS S A ""EN LIQUIDACION""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1991/09/01,2000/12/31,,1992,1992/03/30,2018/08/11,,,
SIN IDENTIFICACION,16082903,Activa,"A SU SALUD Y CIA LTDA ASESORES EN SERVICIOS DE SALUD ""EN LIQUIDACION""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad limitada,Medellin para antioquia,1991/09/01,2010/08/01,,1991,,2018/05/20,,,
NIT 800148328 - 0,16295603,Activa,ADMINISTRACION CIBERNETICA DE APUESTAS LTDA,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad limitada,Medellin para antioquia,1991/11/01,2091/10/18,,1992,,,,,
NIT 800157918 - 0,16343104,Activa,TRANSPORTES CAMIONEROS UNIDOS S.A.,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1991/11/01,2043/05/05,,1996,,,,,
NIT 800148831 - 0,16365304,Activa,CI ARCO S A,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1991/12/01,2041/11/07,,1995,,,,,
NIT 800152204 - 0,16435603,Activa,A Y B ALIMENTOS Y BEBIDAS LTDA,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad limitada,Medellin para antioquia,1992/01/01,2042/01/08,,1993,,,,,
NIT 800151671 - 1,16439004,Activa,"EXPERTOS MERCADEO S A ""EN LIQUIDACION""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1992/01/01,2041/12/09,,2000,2000/12/15,2018/08/11,,,
NIT 800153735 - 0,16454903,Activa,H A AGROPECUARIAS LTDA,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad limitada,Medellin para antioquia,1992/01/01,2002/01/17,,1995,,,,,
CEDULA DE CIUDADANIA,16473908,Activa,"EMPRESA ASOCIATIVA DE TRABAJO SIN LIMITES E A T ""EN LIQUIDACION""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad extranjera,Medellin para antioquia,1992/02/01,2050/12/31,,1992,1992/02/03,2019/05/01,,,
NIT 800154439 - 0,16540204,Activa,COMUNICACIONES DE AMERICA S A,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1992/02/01,2025/02/14,,1997,,,,,
NIT 800156009 - 0,16585704,Activa,PLAZA DEL LIMONAR S A,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1992/03/01,2002/02/07,,1998,,,,,
SIN IDENTIFICACION,16757504,Activa,"EMPRESA DE SERVICIOS A LA COMERCIALIZACION DE FRUTAS DEL OCCIDENTE DE ANTIOQUIA S.A. ""EN LIQUIDACION""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1992/05/01,2091/02/22,,1992,1992/05/04,2018/08/11,,,
CEDULA DE CIUDADANIA,16779603,Activa,"MARCA HUEVOS LTDA ""EN LIQUIDACION""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad limitada,Medellin para antioquia,1992/05/01,2002/04/29,,1993,1993/09/01,2018/05/20,,,
NIT 800162205 - 1,16780104,Activa,"CONDIMENTOS Y SASONES DELICIOSO S A ""EN LIQUIDACIÓN""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1992/04/01,2010/12/31,,2003,2003/10/02,2018/08/11,,,
CEDULA DE CIUDADANIA,16810603,Activa,"A & S LTDA ASESORES DE SALUD ""EN LIQUIDACION""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad limitada,Medellin para antioquia,1992/05/01,2002/02/21,,1992,,2018/05/20,,,
NIT 800165666 - 5,16864903,Activa,"A A P INGENIERIA LIMITADA ""EN LIQUIDACION""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad limitada,Medellin para antioquia,1992/06/01,2002/06/12,,1996,1996/07/04,2018/08/11,,,
CEDULA DE CIUDADANIA,16931703,Activa,"A L Y B J LIMITADA ""EN LIQUIDACION""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad limitada,Medellin para antioquia,1992/07/01,1994/06/19,,1993,1993/03/18,2018/05/20,,,
NIT 800169985 - 0,16972903,Activa,"F Y A SEGUROS Y NEGOCIOS LIMITADA AGENTES DE MEDICINA PREPAGADA ""EN CAUSAL DE DISOLUCION""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad limitada,Medellin para antioquia,1992/07/01,2002/07/15,,1995,,,,,
CEDULA DE CIUDADANIA,16992703,Activa,"R R A SERVICIOS LTDA ""EN LIQUIDACION""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad limitada,Medellin para antioquia,1992/07/01,2012/06/24,,1993,1993/04/06,2018/05/20,,,
CEDULA DE CIUDADANIA,17001204,Activa,"TEXTILES IMPORTADOS PARA COLOMBIA S A TEXIMCO S A ""EN LIQUIDACION""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1992/07/01,2002/01/31,,1994,1994/03/24,2018/05/20,,,
NIT 800170149 - 0,17006303,Activa,CALLE A Y CIA LTDA,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad limitada,Medellin para antioquia,1992/08/01,2030/12/31,,1997,,,,,
NIT 811000436 - 1,17228512,Activa,LIZARDO CASTAÑO MUÑOZ CONSULTORES ASOCIADOS S. A. S.,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,1992/10/01,Indefinido,,2021,2021/06/23,2021/06/23,,,
NIT 800187778 - 0,17260004,Activa,CONSTRUCTORA ACEN S A EN LIQUIDACION,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1992/11/01,2042/09/14,,1996,,,,,
NIT 800178377 - 8,17263804,Activa,"IMPORTADORA Y COMERCIALIZADORA LOS ANDES S A ""EN LIQUIDACION"" (IMPORANDES)",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1994/06/01,2044/11/02,,2010,2010/05/05,2019/06/01,,,
NIT 800186911 - 5,17299603,Activa,"ESPECIALISTAS EN COBRANZAS A NIVEL NACIONAL LIMITADA ESCONAL LTDA ""EN LIQUIDACIÓN""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad limitada,Medellin para antioquia,1992/11/01,2042/11/05,,2015,2015/03/16,2020/07/28,,,
NIT 800180713 - 6,17299903,Activa,GUSTAVO YEPES A Y CIA LTDA,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad limitada,Medellin para antioquia,1992/11/01,2002/11/11,,1997,,,,,
NIT 800181484 - 0,17340104,Activa,CONSTRUCTORA BLAS DE LEZO S A EN LIQUIDACION,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1992/12/01,2042/10/29,,1995,,,,,
NIT 800182098 - 3,17363403,Activa,"INVERSIONES Y PROYECTOS M C A LTDA ""EN LIQUIDACION""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad limitada,Medellin para antioquia,1992/12/01,2012/12/07,,1999,1999/05/10,2018/08/11,,,
SIN IDENTIFICACION,17368503,Activa,"FORMAS COMERCIALES 8 A LTDA ""EN LIQUIDACION""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad limitada,Medellin para antioquia,1992/12/01,1997/11/30,,2000,2000/09/25,2018/05/20,,,
NIT 800182187 - 0,17375904,Activa,COMERCIALIZADORA PUROS MUEBLES S A,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1992/12/01,2010/11/19,,1996,,,,,
CEDULA DE CIUDADANIA,17384203,Activa,"A X E COMUNICACIONES Y CIA LTDA ""EN LIQUIDACION""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad limitada,Medellin para antioquia,1992/12/01,2002/11/10,,1992,,2018/05/20,,,
SIN IDENTIFICACION,17396003,Activa,"A R MUEBLES Y MUEBLES Y CIA LTDA ""EN LIQUIDACION""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad limitada,Medellin para antioquia,1993/01/01,2002/12/15,,2000,2000/03/22,2018/05/20,,,
NIT 800193735 - 4,17397204,Activa,"IMANTAGO S A ""EN LIQUIDACION""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1992/11/01,2046/12/31,,2005,2005/03/22,2019/06/01,,,
NIT 800195458 - 0,17556803,Activa,HIPERTENSION LIMITADA,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad limitada,Medellin para antioquia,1993/02/01,2002/09/18,,1995,,,,,
NIT 800190128 - 1,17584504,Activa,"PROYECTOS Y CARBONES S A ""EN LIQUIDACION""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1993/03/01,2043/02/15,,2011,2011/04/01,2019/06/01,,,
NIT 800210498 - 0,17589004,Activa,CLUB CAMPESTRE IBEROAMERICANO S A,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1993/03/01,3000/12/31,,1996,,,,,
NIT 800190734 - 0,17618504,Activa,COMERCIALIZADORA INTERNACIONAL SPATARO EVANS S A,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1993/03/01,2014/05/30,,1996,,,,,
NIT 800192270 - 7,17638604,Activa,"LOS NARANJOS S A ""EN LIQUIDACIÓN""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1993/03/01,2020/12/31,,2008,2008/04/01,2019/06/01,,,
NIT 800190629 - 8,17641704,Activa,RY D ASOCIADOS S A REPRESENTACIONES Y DISTRIBUCIONES S A EN LIQUIDACION,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1993/03/01,2013/03/01,,1997,1997/05/28,,,,
NIT 800200425 - 7,17893004,Activa,INVER SPORT S A,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1993/06/01,2096/12/19,,1997,,,,,
NIT 800200051 - 0,17900004,Activa,"PLAN SALUD S A ""EN CAUSAL DE DISOLUCION""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1993/06/01,2003/04/13,,1997,,,,,
CEDULA DE CIUDADANIA,17903904,Activa,"NUEVA LINEA S A ""EN LIQUIDACION""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1993/07/01,2093/05/05,,1993,,2018/05/20,,,
NIT 800201466 - 0,17922004,Activa,C I QUIMICA Y METALES J B S A EN LIQUIDACION,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1993/07/01,2018/06/25,,1997,,,,,
NIT 800201468 - 0,17942104,Activa,CONSTRUCTORA MIRALOMA S A,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1993/07/01,1996/07/09,,1995,,,,,
NIT 800221619 - 9,17945103,Activa,M A INTERNACIONAL Y CIA LTDA,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad limitada,Medellin para antioquia,1993/07/22,2013/06/29,,2000,,,,,
CEDULA DE CIUDADANIA,17957404,Activa,"COMERCIALIZADORA RUTA SOL S A ""EN LIQUIDACION""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1993/07/01,2030/12/31,,1993,,2018/05/20,,,
NIT 800207085 - 8,17982004,Activa,"CONSTRUCCIONES CATAYMA S A ""EN CAUSAL DE DISOLUCION""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1993/08/01,2005/07/28,,1999,,,,,
NIT 800206177 - 2,17984104,Activa,"PARK HOTELS S A ""EN LIQUIDACION""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1993/08/01,2018/12/31,,2014,2014/03/28,2022/02/07,,,
NIT 800203267 - 0,17991204,Activa,FLORES SANTA ELENA S A,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1993/08/01,2003/07/27,,1996,,,,,
NIT 800214782 - 2,18308104,Activa,"CONDOMINIO SAGARO NO 2 S A ""EN LIQUIDACION""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1993/12/01,1997/09/29,,1996,1996/12/31,2023/06/28,,,
NIT 800215021 - 0,18314604,Activa,UNI INTERNATIONAL S A,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1993/12/01,2043/11/29,,1994,,,,,
NIT 800216005 - 7,18342204,Activa,CONSTRUCTORA LAGOS DEL RETIRO S A EN LIQUIDACION,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1993/12/01,1996/12/20,,1997,,,,,
CEDULA DE CIUDADANIA,18662104,Activa,"IMPORTACIONES Y EXPORTACIONES GUILLECAS S A ""EN LIQUIDACION""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1994/04/01,2014/04/07,,1994,,2018/05/20,,,
NIT 800227621 - 1,18680404,Activa,"CONSTRUTORA Y PROMOTORA CORCEGA S A ""EN LIQUIDACION""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1994/04/18,2004/03/22,,2000,,,,,
NIT 811000572 - 0,19744304,Activa,PRIDE S A,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1995/03/01,2095/02/08,,1998,,,,,
CEDULA DE CIUDADANIA,19746504,Activa,"FORJAR S A ""EN LIQUIDACION""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1995/03/01,2015/03/22,,1995,,2018/05/20,,,
CEDULA DE CIUDADANIA,19832904,Activa,"ASESORES HIPOTECARIOS S A ""EN LIQUIDACION""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1995/04/01,2015/04/10,,1996,1996/04/23,2018/05/20,,,
NIT 811001073 - 0,19835903,Activa,A C T L ASESORES LTDA,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad limitada,Medellin para antioquia,1995/04/01,2015/03/03,,2000,,,,,
NIT 811000804 - 7,19836804,Activa,"TONER DE COLOMBIA S A ""EN LIQUIDACION""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1995/04/17,2045/03/30,,1999,,,,,
NIT 811000927 - 0,19837004,Activa,PROBODEGAS S A,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1995/04/01,2002/12/31,,1999,,,,,
NIT 811000860 - 1,19842904,Activa,"PROMOTORA PRADO VERDE S A ""EN LIQUIDACION""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1995/04/01,2015/03/22,,2008,2008/06/12,2019/06/01,,,
NIT 811000857 - 0,19843804,Activa,MORROCOY S A,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1995/04/01,2095/03/31,,1998,,,,,
NIT 811001267 - 6,19873804,Activa,COBADILLO S A,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1995/04/01,2095/03/31,,1998,,,,,
NIT 811001268 - 3,19874504,Activa,"GEOEXPERTOS Y SERVICIOS TECNICOS DE MINERIA S A ""EN LIQUIDACIÓN""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1995/04/01,2095/03/31,,2006,2006/09/26,2019/06/01,,,
NIT 811001115 - 5,19874904,Activa,CONSTRUCTORA EL FARO S A,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1995/04/01,2006/04/17,,1999,,,,,
SIN IDENTIFICACION,19881804,Activa,CENTRO DE MAQUILA S A EN LIQUIDACION,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1995/04/01,2045/04/17,,1995,,2018/05/20,,,
CEDULA DE CIUDADANIA,19883806,Activa,"CARLOS A GONZALEZ F Y HERMANOS S C S ""EN LIQUIDACION""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad en comandita simple,Medellin para antioquia,1995/04/01,2015/04/20,,1995,,2018/05/20,,,
NIT 811000991 - 6,19888604,Activa,"TURISMO NADER S A ""EN LIQUIDACIÓN""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1995/04/01,2045/03/23,,2006,2006/12/31,2019/06/01,,,
NIT 890931370 - 0,20067304,Activa,"PANEL OFFICE S A ""EN CAUSAL DE DISOLUCION""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1982/08/01,2000/12/01,,2000,,,,,
NIT 811002010 - 0,20072503,Activa,PRODUCTOS TRIPLE A LTDA,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad limitada,Medellin para antioquia,1995/06/01,2005/05/18,,1996,,,,,
CEDULA DE CIUDADANIA,20098606,Activa,"JAIRO ALONSO PEREZ A Y CIA SOCIEDAD EN COMANDITA SIMPLE ""EN LIQUIDACION""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad en comandita simple,Medellin para antioquia,1995/06/01,2015/12/31,,1995,,2018/05/20,,,
NIT 811002186 - 2,20099604,Activa,SERVICIOS INMOBILIARIOS INTEGRADOS S A,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1995/06/01,2005/06/06,,1999,,,,,
NIT 811001859 - 0,20107704,Activa,"PROYECTOS Y PARCELACIONES S A ""EN LIQUIDACION""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1995/06/01,2045/05/10,,1997,,,,,
NIT 811001779 - 0,20118204,Activa,FERMETAL COLOMBIA S A,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1995/06/01,2015/06/12,,1997,,,,,
CEDULA DE CIUDADANIA,20128903,Activa,"RISCANEVO ARCILA Y CIA LIMITADA SOCIEDAD DE INTERMEDIACION ADUANERA S I A ""EN LIQUIDACION""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad limitada,Medellin para antioquia,1995/06/01,2005/06/14,,1995,,2018/05/20,,,
NIT 811003950 - 8,20147204,Activa,"INDUSTRIAS VANS S A ""EN LIQUIDACION""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1995/07/01,2015/12/31,,2015,2015/03/27,2020/07/27,,,
NIT 811001828 - 0,20167004,Activa,"PORTON DE HUNGRIA S A ""EN CAUSAL DE DISOLUCION""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1995/07/01,2000/12/31,,2000,,,,,
CEDULA DE CIUDADANIA 81100888 - 0,20173104,Activa,MASVIDA S A,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1995/07/01,2005/06/20,,1996,,,,,
CEDULA DE CIUDADANIA,20182403,Activa,"A & B SISTEMAS LTDA. ""EN LIQUIDACION""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad limitada,Medellin para antioquia,1995/07/01,2015/06/28,,1995,,2018/05/20,,,
NIT 811001973 - 0,20191904,Activa,MANUFACTURAS DE CUERO BEACHE S A,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1996/06/01,2015/07/05,,1997,,,,,
SIN IDENTIFICACION,20220604,Activa,"JARDIN DE LA SEBASTIANA S A ""EN LIQUIDACION""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1995/07/28,1997/06/14,,1995,,2018/05/20,,,
NIT 811002914 - 8,20226303,Activa,"A K LTDA ""EN LIQUIDACIÓN""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad limitada,Medellin para antioquia,1995/07/31,2045/06/28,,2003,2003/03/06,2018/08/11,,,
NIT 811002072 - 1,20231103,Activa,"ACECAR LTDA SOCIEDAD DE INTERMEDIACION ADUANERA S I A ""EN LIQUIDACION""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad limitada,Medellin para antioquia,1995/07/01,2005/07/27,,1997,1997/04/30,2018/08/11,,,
NIT 811002150 - 8,20242404,Activa,"CONSTRUCTORA RIBADAVIA S A ""EN LIQUIDACION""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1995/08/01,2015/12/31,,1999,,,,,
NIT 811002189 - 4,20258104,Activa,SOCIEDAD PANAMERICANA DE ELECTRONICA S A,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1995/08/01,2045/06/30,,1996,,,,,
NIT 811002180 - 9,20258304,Activa,"ANGEL FRANCO S A ""EN LIQUIDACION""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1995/08/01,2045/06/27,,2009,2009/10/19,2019/06/01,,,
NIT 811002475 - 6,20274603,Activa,A B C CHEMICALS LTDA,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad limitada,Medellin para antioquia,1995/08/24,2050/08/08,,1999,,,,,
CEDULA DE CIUDADANIA,20276603,Activa,"COMERCIALIZADORA L A LTDA ""EN LIQUIDACION""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad limitada,Medellin para antioquia,1995/08/01,2020/08/02,,1995,,2018/05/20,,,
NIT 811002210 - 1,20279904,Activa,"PARQUE INDUSTRIAL CIMARRONAS S A ""EN LIQUIDACION""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1995/08/01,2008/08/14,,2011,2011/06/22,2019/06/01,,,
CEDULA DE CIUDADANIA,20286004,Activa,"BRAVO SOCOMIN S A ""EN LIQUIDACION""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1995/08/01,2094/07/27,,1995,,2018/05/20,,,
NIT 811002348 - 9,20307104,Activa,"CANTANTES DE COLOMBIA S A ""EN LIQUIDACIÓN""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1995/08/01,2025/08/14,,2007,2007/05/14,2019/06/01,,,
NIT 811002454 - 1,20349804,Activa,"THE ONLY S A ""EN LIQUIDACIÓN""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1995/03/01,2046/12/30,,2000,2000/12/31,2018/08/11,,,
CEDULA DE CIUDADANIA,20381803,Activa,"ASESORIAS Y SERVICIOS A & S. LTDA. ""EN LIQUIDACION""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad limitada,Medellin para antioquia,1995/09/01,2005/08/30,,1995,,2018/05/20,,,
NIT 811002581 - 9,20407204,Activa,TECNODATA S A,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1995/09/01,2050/12/31,,1998,,,,,
NIT 811002705 - 5,20427903,Activa,B B A PUBLICIDAD Y MULTIMEDIA LTDA,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad limitada,Medellin para antioquia,1995/09/01,2010/12/31,,1999,,,,,
NIT 811002804 - 0,20448104,Activa,ORFEO S A,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1995/09/01,2095/12/31,,1997,,,,,
NIT 811002966 - 0,20497404,Activa,"ALTA GERENCIA-ESPECIALISTAS ASOCIADOS S A ""EN LIQUIDACIÓN""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1995/10/01,2003/06/30,,2001,2001/04/03,2018/08/11,,,
SIN IDENTIFICACION 811003115 - 4,20497604,Activa,NEGOCIOS COMERCIO E INVERSIONES S A,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1995/10/01,2014/09/30,,1998,,,,,
CEDULA DE CIUDADANIA,20506604,Activa,"COMERCIALIZADORA VILLA CARO S A ""EN LIQUIDACION""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1995/10/01,2015/02/06,,1995,,2018/05/20,,,
CEDULA DE CIUDADANIA,20506804,Activa,"REPRESENTACIONES E INTERVENTORES S A ""EN LIQUIDACION""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1995/10/01,2015/06/06,,1995,,2018/05/20,,,
CEDULA DE CIUDADANIA,20511103,Activa,"SERVICIOS A LA ARQUITECTURA SALA LTDA ""EN LIQUIDACION""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad limitada,Medellin para antioquia,1995/10/01,2000/10/12,,1995,,2018/05/20,,,
